X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2542.20321124599,6718188.43912077,"4812",2/6/2018,15:34:30,51.544544,-0.022837,2.07,16.2,"332"
-2540.97869684726,6718188.43912077,"4813",2/6/2018,15:34:31,51.544544,-0.022826,2.22,16.2,"327"
-2539.42022397616,6718189.15510996,"4814",2/6/2018,15:34:32,51.544548,-0.022812,2.85,16.2,"327"
-2539.42022397616,6718189.15510996,"4815",2/6/2018,15:34:32,51.544548,-0.022812,2.85,17,"333"
-2537.30515365108,6718188.43912077,"4816",2/6/2018,15:34:33,51.544544,-0.022793,3.56,17,"326"
-2535.30140281681,6718189.15510996,"4817",2/6/2018,15:34:34,51.544548,-0.022775,4.09,17,"326"
-2535.30140281681,6718189.15510996,"4818",2/6/2018,15:34:34,51.544548,-0.022775,4.09,16.5,"332"
-2533.29765198253,6718189.8710992,"4819",2/6/2018,15:34:35,51.544552,-0.022757,3.61,16.5,"323"
-2531.51654012983,6718190.58708851,"4820",2/6/2018,15:34:36,51.544556,-0.022741,3.61,16.5,"324"
-2531.51654012983,6718190.58708851,"4821",2/6/2018,15:34:36,51.544556,-0.022741,3.61,17.4,"334"
-2530.51466471269,6718190.58708851,"4822",2/6/2018,15:34:37,51.544556,-0.022732,2.35,17.4,"322"
-2529.29015031397,6718191.84006996,"4823",2/6/2018,15:34:38,51.544563,-0.022721,3.26,17.4,"325"
-2529.29015031397,6718191.84006996,"4824",2/6/2018,15:34:38,51.544563,-0.022721,3.26,18.3,"330"
-2527.95431642445,6718192.55605944,"4825",2/6/2018,15:34:39,51.544567,-0.022709,1.81,18.3,"325"
-2527.95431642445,6718192.55605944,"4826",2/6/2018,15:34:39,51.544567,-0.022709,1.81,18.4,"334"
-2527.28639947969,6718193.27204899,"4827",2/6/2018,15:34:40,51.544571,-0.022703,1.24,18.4,"325"
-2526.84112151652,6718192.55605944,"4828",2/6/2018,15:34:41,51.544567,-0.022699,0.8,18.4,"326"
-2526.84112151652,6718192.55605944,"4829",2/6/2018,15:34:41,51.544567,-0.022699,0.8,17.3,"333"
-2525.72792660858,6718193.27204899,"4830",2/6/2018,15:34:42,51.544571,-0.022689,2.44,17.3,"324"
-2525.72792660858,6718193.27204899,"4831",2/6/2018,15:34:42,51.544571,-0.022689,2.44,17,"333"
-2524.28077322827,6718193.27204899,"4832",2/6/2018,15:34:43,51.544571,-0.022676,3.7,17,"324"
-2521.83174443082,6718193.27204899,"4833",2/6/2018,15:34:44,51.544571,-0.022654,4.2,17,"323"
-2521.83174443082,6718193.27204899,"4834",2/6/2018,15:34:44,51.544571,-0.022654,4.2,15.1,"335"
-2519.82799359654,6718193.9880386,"4835",2/6/2018,15:34:45,51.544575,-0.022636,4.33,15.1,"321"
-2518.26952072543,6718193.9880386,"4836",2/6/2018,15:34:46,51.544575,-0.022622,4.33,15.1,"324"
-2518.26952072543,6718193.9880386,"4837",2/6/2018,15:34:46,51.544575,-0.022622,4.33,13.5,"330"
-2516.93368683592,6718193.9880386,"4838",2/6/2018,15:34:47,51.544575,-0.02261,3.96,13.5,"321"
-2516.93368683592,6718193.9880386,"4839",2/6/2018,15:34:47,51.544575,-0.02261,3.96,12.9,"328"
-2515.04125549243,6718194.70402827,"4840",2/6/2018,15:34:48,51.544579,-0.022593,4.46,12.9,"324"
-2515.04125549243,6718194.70402827,"4841",2/6/2018,15:34:48,51.544579,-0.022593,4.46,12.7,"332"
-2513.26014363974,6718194.70402827,"4842",2/6/2018,15:34:49,51.544579,-0.022577,4.43,12.7,"323"
-2513.26014363974,6718194.70402827,"4843",2/6/2018,15:34:49,51.544579,-0.022577,4.43,11.9,"332"
-2511.70167076863,6718195.24102057,"4844",2/6/2018,15:34:50,51.544582,-0.022563,3.37,11.9,"326"
-2511.70167076863,6718195.24102057,"4845",2/6/2018,15:34:50,51.544582,-0.022563,3.37,11.9,"331"
-2509.92055891594,6718195.95701035,"4846",2/6/2018,15:34:51,51.544586,-0.022547,4.11,11.9,"325"
-2509.92055891594,6718195.95701035,"4847",2/6/2018,15:34:51,51.544586,-0.022547,4.11,11.8,"330"
-2508.25076655404,6718197.3889901,"4848",2/6/2018,15:34:52,51.544594,-0.022532,4.02,11.8,"326"
-2508.25076655404,6718197.3889901,"4849",2/6/2018,15:34:52,51.544594,-0.022532,4.02,11.6,"333"
-2506.35833521055,6718198.10498007,"4850",2/6/2018,15:34:53,51.544598,-0.022515,4.46,11.6,"326"
-2506.35833521055,6718198.10498007,"4851",2/6/2018,15:34:53,51.544598,-0.022515,4.46,11.4,"332"
-2504.68854284866,6718199.35796267,"4852",2/6/2018,15:34:54,51.544605,-0.0225,4.22,11.4,"327"
-2504.68854284866,6718199.35796267,"4853",2/6/2018,15:34:54,51.544605,-0.0225,4.22,11.4,"333"
-2502.79611150517,6718200.78994302,"4854",2/6/2018,15:34:55,51.544613,-0.022483,4.35,11.4,"326"
-2502.79611150517,6718200.78994302,"4855",2/6/2018,15:34:55,51.544613,-0.022483,4.35,10.9,"330"
-2501.01499965248,6718201.5059333,"4856",2/6/2018,15:34:56,51.544617,-0.022467,4.11,10.9,"326"
-2501.01499965248,6718201.5059333,"4857",2/6/2018,15:34:56,51.544617,-0.022467,4.11,10.8,"335"
-2499.12256830899,6718201.5059333,"4858",2/6/2018,15:34:57,51.544617,-0.02245,4.44,10.8,"326"
-2499.12256830899,6718201.5059333,"4859",2/6/2018,15:34:57,51.544617,-0.02245,4.44,10.3,"332"
