index 	 lat 	 long 	 speed 	 date 	 time 	 air_val 	 dust 	 gsr
202	51.525557	-0.131337	2.13	180124	18522300	22	0.62	290
203	51.525565	-0.131338	2.36	180124	18522400	22	0.62	289
204	51.525575	-0.131367	1.98	180124	18522500	22	0.62	294
205	51.525583	-0.131385	2.45	180124	18522600	22	0.62	290
206	51.525592	-0.13141	1.92	180124	18522700	22	0.62	291
207	51.525603	-0.131423	1.28	180124	18522800	22	0.62	295
208	51.525612	-0.131432	2.19	180124	18522900	23	0.62	297
209	51.525615	-0.131447	2.65	180124	18523000	23	0.62	301
210	51.5256	-0.131465	2.65	180124	18523200	23	0.62	300
211	51.52561	-0.131475	2.65	180124	18523300	23	0.62	296
212	51.525635	-0.131537	1.27	180124	18523400	22	0.62	294
213	51.525633	-0.131552	2.34	180124	18523500	22	0.62	297
214	51.525628	-0.13157	3.88	180124	18523600	23	0.62	298
215	51.525638	-0.13159	3.44	180124	18523700	22	0.62	299
216	51.52564	-0.131615	2.72	180124	18523800	23	0.62	300
217	51.525675	-0.131623	3.79	180124	18523900	23	0.62	303
218	51.525707	-0.131615	3.71	180124	18524000	23	0.62	491
219	51.52571	-0.131638	3.12	180124	18524100	36	0.62	308
220	51.525728	-0.131713	1.85	180124	18524200	23	0.62	297
221	51.52573	-0.13173	3.0	180124	18524300	22	0.62	302
222	51.525732	-0.131745	3.16	180124	18524400	23	0.62	300
223	51.525747	-0.131778	2.05	180124	18524500	23	0.62	302
224	51.525758	-0.131822	2.05	180124	18524700	23	0.62	304
225	51.525773	-0.131832	3.76	180124	18524800	23	0.62	309
226	51.525788	-0.131838	3.76	180124	18524900	23	0.62	308
227	51.525833	-0.131908	2.46	180124	18525000	23	0.62	304
228	51.525845	-0.131912	2.44	180124	18525100	23	0.62	303
229	51.525858	-0.131913	3.13	180124	18525200	23	0.62	303
230	51.52587	-0.131907	2.88	180124	18525300	23	0.62	305
231	51.525882	-0.131898	3.21	180124	18525400	23	0.62	304
232	51.525888	-0.131887	3.99	180124	18525500	23	0.62	410
233	51.5259	-0.131872	2.24	180124	18525600	30	0.62	468
234	51.525917	-0.131865	4.05	180124	18525700	29	0.62	305
235	51.525952	-0.131863	5.2	180124	18525900	23	0.62	305
236	51.525963	-0.131855	5.82	180124	18530000	23	0.62	304
237	51.525973	-0.131855	5.82	180124	18530100	23	0.62	302
238	51.525995	-0.131835	5.82	180124	18530200	23	0.62	301
239	51.526007	-0.131798	7.85	180124	18530300	23	0.62	303
240	51.526018	-0.131752	8.19	180124	18530400	23	0.62	298
241	51.526027	-0.131697	9.28	180124	18530500	23	0.62	296
242	51.526042	-0.13165	10.17	180124	18530600	22	0.62	487
243	51.526052	-0.131723	10.96	180124	18530700	35	0.62	387
244	51.526057	-0.131787	9.71	180124	18530800	29	0.62	495
245	51.526063	-0.131838	8.37	180124	18530900	40	0.62	299
246	51.52607	-0.13187	6.94	180124	18531000	22	0.62	300
247	51.52609	-0.131868	6.94	180124	18531200	23	0.62	298
248	51.52609	-0.131843	6.61	180124	18531300	23	0.62	297
249	51.526088	-0.131825	6.09	180124	18531400	22	0.62	299
