X,Y,index,lat,long,speed,date,time,air_val,dust,gsr
-14712.2065422206,6714704.28617282,"75",51.525075,-0.132162,6.25,"180124","18500500","21",0.62,"257"
-14701.1859126321,6714716.27387151,"76",51.525142,-0.132063,7.77,"180124","18500600","21",0.62,"253"
-14698.4029253623,6714725.2199268,"77",51.525192,-0.132038,11.43,"180124","18500700","21",0.62,"254"
-14715.8800854168,6714729.33511553,"78",51.525215,-0.132195,12.98,"180124","18500800","21",0.62,"254"
-14719.4423091222,6714730.58756469,"79",51.525222,-0.132227,13.38,"180124","18500900","21",0.62,"251"
-14718.8857116682,6714722.71503033,"80",51.525178,-0.132222,2.98,"180124","18501000","21",0.62,"256"
-14721.4460599565,6714711.80084755,"81",51.525117,-0.132245,2.61,"180124","18501100","21",0.62,"261"
-14716.1027243984,6714694.44553783,"82",51.52502,-0.132197,3.14,"180124","18501300","21",0.62,"263"
-14713.3197371286,6714688.18332175,"83",51.524985,-0.132172,3.66,"180124","18501400","21",0.62,"263"
-14712.8744591654,6714683.17355235,"84",51.524957,-0.132168,3.66,"180124","18501500","21",0.62,"271"
-14710.6480693495,6714678.70054657,"85",51.524932,-0.132148,3.66,"180124","18501600","21",0.62,"271"
-14708.3103600429,6714675.65890403,"86",51.524915,-0.132127,3.33,"180124","18501700","22",0.62,"275"
-14707.1971651349,6714672.97510274,"87",51.5249,-0.132117,2.97,"180124","18501800","22",0.62,"278"
-14705.8613312454,6714668.85994248,"88",51.524877,-0.132105,3.23,"180124","18501900","22",0.62,"280"
-14703.6349414295,6714667.07074301,"89",51.524867,-0.132085,1.21,"180124","18502000","22",0.62,"268"
-14700.8519541597,6714662.7766659,"90",51.524843,-0.13206,4.02,"180124","18502100","21",0.62,"258"
-14696.0652160556,6714659.55610954,"91",51.524825,-0.132017,4.19,"180124","18502200","21",0.62,"254"
-14692.1690338778,6714657.40907268,"92",51.524813,-0.131982,2.97,"180124","18502300","21",0.62,"257"
-14691.9463948962,6714651.50472424,"93",51.52478,-0.13198,5.79,"180124","18502500","21",0.62,"262"
-14692.8369508226,6714649.17876996,"94",51.524767,-0.131988,4.97,"180124","18502600","21",0.62,"262"
-14693.8388262397,6714645.77929952,"95",51.524748,-0.131997,6.23,"180124","18502700","21",0.62,"278"
